municipio_id_sus,nome,uf_sigla,periodo_codigo,indicadores_nome,peso,meta,resultado,nota,isf_calculado,isf_calculado_erro,isf_calculado_final
310020,Abaeté,MG,2022.Q3,Gestantes Saúde Bucal,2,60,69,10.00,7.226695906,#VALUE!,
310020,Abaeté,MG,2022.Q3,Cobertura Citopatológico,1,40,31,7.75,6.626695906,#VALUE!,
310020,Abaeté,MG,2022.Q3,Cobertura Polio e Penta,2,95,66,6.95,6.026695906,#VALUE!,
310020,Abaeté,MG,2022.Q3,Hipertensão (PA Aferida),2,50,25,5.00,5.374064327,#VALUE!,
310020,Abaeté,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,22,4.40,5.094064327,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Pré-Natal (6 consultas),1,45,28,6.22,4.914064327,4.914064327,4.914064327
150010,Abaetetuba,PA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,85,10.00,5.291842105,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Gestantes Saúde Bucal,2,60,42,7.00,5.291842105,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Cobertura Citopatológico,1,40,7,1.75,5.891842105,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Cobertura Polio e Penta,2,95,35,3.68,6.541842105,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Hipertensão (PA Aferida),2,50,18,3.60,7.805,#VALUE!,
150010,Abaetetuba,PA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,13,2.60,8.685,#VALUE!,
230010,Abaiara,CE,2022.Q3,Pré-Natal (6 consultas),1,45,67,10.00,9.085,9.085,9.085
230010,Abaiara,CE,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,92,10.00,9.085,#VALUE!,
230010,Abaiara,CE,2022.Q3,Gestantes Saúde Bucal,2,60,77,10.00,9.085,#VALUE!,
230010,Abaiara,CE,2022.Q3,Cobertura Citopatológico,1,40,33,8.25,9.085,#VALUE!,
230010,Abaiara,CE,2022.Q3,Cobertura Polio e Penta,2,95,98,10.00,8.985,#VALUE!,
230010,Abaiara,CE,2022.Q3,Hipertensão (PA Aferida),2,50,40,8.00,8.985,#VALUE!,
230010,Abaiara,CE,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,33,6.60,8.585,#VALUE!,
290010,Abaíra,BA,2022.Q3,Pré-Natal (6 consultas),1,45,63,10.00,8.665,8.665,8.665
290010,Abaíra,BA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,75,10.00,8.665,#VALUE!,
290010,Abaíra,BA,2022.Q3,Gestantes Saúde Bucal,2,60,94,10.00,8.665,#VALUE!,
290010,Abaíra,BA,2022.Q3,Cobertura Citopatológico,1,40,29,7.25,8.665,#VALUE!,
290010,Abaíra,BA,2022.Q3,Cobertura Polio e Penta,2,95,96,10.00,8.865,#VALUE!,
290010,Abaíra,BA,2022.Q3,Hipertensão (PA Aferida),2,50,30,6.00,8.865,#VALUE!,
290010,Abaíra,BA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,37,7.40,9.665,#VALUE!,
290020,Abaré,BA,2022.Q3,Pré-Natal (6 consultas),1,45,66,10.00,9.925,9.925,9.925
290020,Abaré,BA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,95,10.00,9.925,#VALUE!,
290020,Abaré,BA,2022.Q3,Gestantes Saúde Bucal,2,60,98,10.00,8.925,#VALUE!,
290020,Abaré,BA,2022.Q3,Cobertura Citopatológico,1,40,37,9.25,6.925,#VALUE!,
290020,Abaré,BA,2022.Q3,Cobertura Polio e Penta,2,95,97,10.00,6.25,#VALUE!,
290020,Abaré,BA,2022.Q3,Hipertensão (PA Aferida),2,50,57,10.00,6.228947368,#VALUE!,
290020,Abaré,BA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,55,10.00,4.588947368,#VALUE!,
410010,Abatiá,PR,2022.Q3,Pré-Natal (6 consultas),1,45,45,10.00,3.748947368,3.748947368,3.748947368
410010,Abatiá,PR,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,0,0.00,3.748947368,#VALUE!,
410010,Abatiá,PR,2022.Q3,Gestantes Saúde Bucal,2,60,0,0.00,4.748947368,#VALUE!,
410010,Abatiá,PR,2022.Q3,Cobertura Citopatológico,1,40,10,2.50,6.748947368,#VALUE!,
410010,Abatiá,PR,2022.Q3,Cobertura Polio e Penta,2,95,94,9.89,7.098947368,#VALUE!,
410010,Abatiá,PR,2022.Q3,Hipertensão (PA Aferida),2,50,9,1.80,7.12,#VALUE!,
410010,Abatiá,PR,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,8,1.60,8.44,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Pré-Natal (6 consultas),1,45,76,10.00,8.98,8.98,8.98
420005,Abdon Batista,SC,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,94,10.00,8.98,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Gestantes Saúde Bucal,2,60,82,10.00,8.596666667,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Cobertura Citopatológico,1,40,24,6.00,7.463333333,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Cobertura Polio e Penta,2,95,100,10.00,7.088333333,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Hipertensão (PA Aferida),2,50,42,8.40,6.688333333,#VALUE!,
420005,Abdon Batista,SC,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,35,7.00,6.808333333,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Pré-Natal (6 consultas),1,45,52,10.00,6.928333333,6.928333333,6.928333333
150013,Abel Figueiredo,PA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,37,6.17,6.839444444,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Gestantes Saúde Bucal,2,60,26,4.33,7.222777778,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Cobertura Citopatológico,1,40,9,2.25,8.356111111,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Cobertura Polio e Penta,2,95,76,8.00,8.906111111,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Hipertensão (PA Aferida),2,50,45,9.00,9.053479532,#VALUE!,
150013,Abel Figueiredo,PA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,41,8.20,9.253479532,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Pré-Natal (6 consultas),1,45,41,9.11,9.433479532,9.433479532,9.433479532
420010,Abelardo Luz,SC,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,70,10.00,9.522368421,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Gestantes Saúde Bucal,2,60,63,10.00,9.522368421,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Cobertura Citopatológico,1,40,31,7.75,9.522368421,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Cobertura Polio e Penta,2,95,83,8.74,9.347368421,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Hipertensão (PA Aferida),2,50,52,10.00,9.6,#VALUE!,
420010,Abelardo Luz,SC,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,59,10.00,9.6,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Pré-Natal (6 consultas),1,45,55,10.00,9.48,9.48,9.48
310030,Abre Campo,MG,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,82,10.00,8.835555556,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Gestantes Saúde Bucal,2,60,86,10.00,8.468888889,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Cobertura Citopatológico,1,40,24,6.00,7.002222222,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Cobertura Polio e Penta,2,95,98,10.00,6.827222222,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Hipertensão (PA Aferida),2,50,51,10.00,5.227222222,#VALUE!,
310030,Abre Campo,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,44,8.80,5.187222222,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Pré-Natal (6 consultas),1,45,16,3.56,5.307222222,5.307222222,5.307222222
260005,Abreu e Lima,PE,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,38,6.33,5.951666667,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Gestantes Saúde Bucal,2,60,16,2.67,6.318333333,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Cobertura Citopatológico,1,40,17,4.25,7.785,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Cobertura Polio e Penta,2,95,19,2.00,8.36,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Hipertensão (PA Aferida),2,50,49,9.80,9.812631579,#VALUE!,
260005,Abreu e Lima,PE,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,53,10.00,9.852631579,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Pré-Natal (6 consultas),1,45,78,10.00,9.852631579,9.852631579,9.852631579
170025,Abreulândia,TO,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,100,10.00,9.852631579,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Gestantes Saúde Bucal,2,60,89,10.00,9.802631579,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Cobertura Citopatológico,1,40,43,10.00,9.802631579,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Cobertura Polio e Penta,2,95,88,9.26,9.277631579,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Hipertensão (PA Aferida),2,50,67,10.00,9.425,#VALUE!,
170025,Abreulândia,TO,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,60,10.00,8.745,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Pré-Natal (6 consultas),1,45,71,10.00,7.985,7.985,7.985
310040,Acaiaca,MG,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,57,9.50,7.985,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Gestantes Saúde Bucal,2,60,86,10.00,8.035,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Cobertura Citopatológico,1,40,19,4.75,7.101666667,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Cobertura Polio e Penta,2,95,100,10.00,6.776666667,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Hipertensão (PA Aferida),2,50,33,6.60,6.334561404,#VALUE!,
310040,Acaiaca,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,12,2.40,5.414561404,#VALUE!,
210005,Açailândia,MA,2022.Q3,Pré-Natal (6 consultas),1,45,49,10.00,5.354561404,5.354561404,5.354561404
210005,Açailândia,MA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,64,10.00,5.354561404,#VALUE!,
210005,Açailândia,MA,2022.Q3,Gestantes Saúde Bucal,2,60,32,5.33,5.354561404,#VALUE!,
210005,Açailândia,MA,2022.Q3,Cobertura Citopatológico,1,40,6,1.50,6.287894737,#VALUE!,
210005,Açailândia,MA,2022.Q3,Cobertura Polio e Penta,2,95,74,7.79,6.812894737,#VALUE!,
210005,Açailândia,MA,2022.Q3,Hipertensão (PA Aferida),2,50,10,2.00,7.023421053,#VALUE!,
210005,Açailândia,MA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,9,1.80,7.863421053,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Pré-Natal (6 consultas),1,45,58,10.00,8.323421053,8.323421053,8.323421053
290030,Acajutiba,BA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,85,10.00,7.790087719,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Gestantes Saúde Bucal,2,60,72,10.00,7.790087719,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Cobertura Citopatológico,1,40,27,6.75,7.256754386,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Cobertura Polio e Penta,2,95,84,8.84,6.756754386,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Hipertensão (PA Aferida),2,50,31,6.20,5.493596491,#VALUE!,
290030,Acajutiba,BA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,32,6.40,4.813596491,#VALUE!,
150020,Acará,PA,2022.Q3,Pré-Natal (6 consultas),1,45,21,4.67,4.273596491,4.273596491,4.273596491
150020,Acará,PA,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,67,10.00,4.806929825,#VALUE!,
150020,Acará,PA,2022.Q3,Gestantes Saúde Bucal,2,60,44,7.33,4.806929825,#VALUE!,
150020,Acará,PA,2022.Q3,Cobertura Citopatológico,1,40,7,1.75,5.340263158,#VALUE!,
150020,Acará,PA,2022.Q3,Cobertura Polio e Penta,2,95,24,2.53,5.465263158,#VALUE!,
150020,Acará,PA,2022.Q3,Hipertensão (PA Aferida),2,50,14,2.80,6.833684211,#VALUE!,
150020,Acará,PA,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,5,1.00,7.113684211,#VALUE!,
230015,Acarape,CE,2022.Q3,Pré-Natal (6 consultas),1,45,53,10.00,7.293684211,7.293684211,7.293684211
230015,Acarape,CE,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,87,10.00,7.293684211,#VALUE!,
230015,Acarape,CE,2022.Q3,Gestantes Saúde Bucal,2,60,77,10.00,7.293684211,#VALUE!,
230015,Acarape,CE,2022.Q3,Cobertura Citopatológico,1,40,12,3.00,7.293684211,#VALUE!,
230015,Acarape,CE,2022.Q3,Cobertura Polio e Penta,2,95,89,9.37,7.993684211,#VALUE!,
230015,Acarape,CE,2022.Q3,Hipertensão (PA Aferida),2,50,21,4.20,7.888421053,#VALUE!,
230015,Acarape,CE,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,14,2.80,8.888421053,#VALUE!,
230020,Acaraú,CE,2022.Q3,Pré-Natal (6 consultas),1,45,86,10.00,9.428421053,9.428421053,9.428421053
230020,Acaraú,CE,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,91,10.00,9.428421053,#VALUE!,
230020,Acaraú,CE,2022.Q3,Gestantes Saúde Bucal,2,60,94,10.00,9.428421053,#VALUE!,
230020,Acaraú,CE,2022.Q3,Cobertura Citopatológico,1,40,51,10.00,9.428421053,#VALUE!,
230020,Acaraú,CE,2022.Q3,Cobertura Polio e Penta,2,95,84,8.84,9.203421053,#VALUE!,
230020,Acaraú,CE,2022.Q3,Hipertensão (PA Aferida),2,50,46,9.20,9.056052632,#VALUE!,
230020,Acaraú,CE,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,41,8.20,8.776052632,#VALUE!,
240010,Acari,RN,2022.Q3,Pré-Natal (6 consultas),1,45,70,10.00,8.456052632,8.456052632,8.456052632
240010,Acari,RN,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,93,10.00,8.456052632,#VALUE!,
240010,Acari,RN,2022.Q3,Gestantes Saúde Bucal,2,60,82,10.00,8.456052632,#VALUE!,
240010,Acari,RN,2022.Q3,Cobertura Citopatológico,1,40,31,7.75,8.456052632,#VALUE!,
240010,Acari,RN,2022.Q3,Cobertura Polio e Penta,2,95,77,8.11,8.681052632,#VALUE!,
240010,Acari,RN,2022.Q3,Hipertensão (PA Aferida),2,50,39,7.80,9.06,#VALUE!,
240010,Acari,RN,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,25,5.00,9.42,#VALUE!,
220005,Acauã,PI,2022.Q3,Pré-Natal (6 consultas),1,45,83,10.00,9.82,9.82,9.82
220005,Acauã,PI,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,100,10.00,9.82,#VALUE!,
220005,Acauã,PI,2022.Q3,Gestantes Saúde Bucal,2,60,90,10.00,9.82,#VALUE!,
220005,Acauã,PI,2022.Q3,Cobertura Citopatológico,1,40,46,10.00,9.686666667,#VALUE!,
220005,Acauã,PI,2022.Q3,Cobertura Polio e Penta,2,95,100,10.00,9.686666667,#VALUE!,
220005,Acauã,PI,2022.Q3,Hipertensão (PA Aferida),2,50,48,9.60,9.32877193,#VALUE!,
220005,Acauã,PI,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,45,9.00,9.40877193,#VALUE!,
430003,Aceguá,RS,2022.Q3,Pré-Natal (6 consultas),1,45,56,10.00,9.50877193,9.50877193,9.50877193
430003,Aceguá,RS,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,63,10.00,9.50877193,#VALUE!,
430003,Aceguá,RS,2022.Q3,Gestantes Saúde Bucal,2,60,56,9.33,9.50877193,#VALUE!,
430003,Aceguá,RS,2022.Q3,Cobertura Citopatológico,1,40,45,10.00,8.90877193,#VALUE!,
430003,Aceguá,RS,2022.Q3,Cobertura Polio e Penta,2,95,78,8.21,8.28377193,#VALUE!,
430003,Aceguá,RS,2022.Q3,Hipertensão (PA Aferida),2,50,59,10.00,8.55745614,#VALUE!,
430003,Aceguá,RS,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,62,10.00,7.55745614,#VALUE!,
230030,Acopiara,CE,2022.Q3,Pré-Natal (6 consultas),1,45,53,10.00,6.89745614,6.89745614,6.89745614
230030,Acopiara,CE,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,71,10.00,6.141900585,#VALUE!,
230030,Acopiara,CE,2022.Q3,Gestantes Saúde Bucal,2,60,38,6.33,5.608567251,#VALUE!,
230030,Acopiara,CE,2022.Q3,Cobertura Citopatológico,1,40,15,3.75,4.341900585,#VALUE!,
230030,Acopiara,CE,2022.Q3,Cobertura Polio e Penta,2,95,91,9.58,4.216900585,#VALUE!,
230030,Acopiara,CE,2022.Q3,Hipertensão (PA Aferida),2,50,25,5.00,3.964269006,#VALUE!,
230030,Acopiara,CE,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,17,3.40,3.124269006,#VALUE!,
510010,Acorizal,MT,2022.Q3,Pré-Natal (6 consultas),1,45,11,2.44,2.904269006,2.904269006,2.904269006
510010,Acorizal,MT,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,28,4.67,3.659824561,#VALUE!,
510010,Acorizal,MT,2022.Q3,Gestantes Saúde Bucal,2,60,0,0.00,4.193157895,#VALUE!,
510010,Acorizal,MT,2022.Q3,Cobertura Citopatológico,1,40,10,2.50,5.559824561,#VALUE!,
510010,Acorizal,MT,2022.Q3,Cobertura Polio e Penta,2,95,79,8.32,5.584824561,#VALUE!,
510010,Acorizal,MT,2022.Q3,Hipertensão (PA Aferida),2,50,4,0.80,5.247982456,#VALUE!,
510010,Acorizal,MT,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,6,1.20,5.767982456,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Pré-Natal (6 consultas),1,45,52,10.00,5.767982456,5.767982456,5.767982456
120001,Acrelândia,AC,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,71,10.00,5.767982456,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Gestantes Saúde Bucal,2,60,41,6.83,5.767982456,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Cobertura Citopatológico,1,40,11,2.75,6.401315789,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Cobertura Polio e Penta,2,95,63,6.63,6.401315789,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Hipertensão (PA Aferida),2,50,17,3.40,6.590789474,#VALUE!,
120001,Acrelândia,AC,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,6,1.20,7.470789474,#VALUE!,
520013,Acreúna,GO,2022.Q3,Pré-Natal (6 consultas),1,45,58,10.00,7.990789474,7.990789474,7.990789474
520013,Acreúna,GO,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,69,10.00,7.968567251,#VALUE!,
520013,Acreúna,GO,2022.Q3,Gestantes Saúde Bucal,2,60,75,10.00,7.968567251,#VALUE!,
520013,Acreúna,GO,2022.Q3,Cobertura Citopatológico,1,40,11,2.75,7.968567251,#VALUE!,
520013,Acreúna,GO,2022.Q3,Cobertura Polio e Penta,2,95,72,7.58,8.143567251,#VALUE!,
520013,Acreúna,GO,2022.Q3,Hipertensão (PA Aferida),2,50,39,7.80,7.764619883,#VALUE!,
520013,Acreúna,GO,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,32,6.40,7.004619883,#VALUE!,
240020,Açu,RN,2022.Q3,Pré-Natal (6 consultas),1,45,44,9.78,6.604619883,6.604619883,6.604619883
240020,Açu,RN,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,65,10.00,6.137953216,#VALUE!,
240020,Açu,RN,2022.Q3,Gestantes Saúde Bucal,2,60,64,10.00,5.904619883,#VALUE!,
240020,Açu,RN,2022.Q3,Cobertura Citopatológico,1,40,18,4.50,5.17128655,#VALUE!,
240020,Açu,RN,2022.Q3,Cobertura Polio e Penta,2,95,54,5.68,5.24628655,#VALUE!,
240020,Açu,RN,2022.Q3,Hipertensão (PA Aferida),2,50,20,4.00,6.067339181,#VALUE!,
240020,Açu,RN,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,12,2.40,6.187339181,#VALUE!,
310050,Açucena,MG,2022.Q3,Pré-Natal (6 consultas),1,45,23,5.11,6.107339181,6.107339181,6.107339181
310050,Açucena,MG,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,46,7.67,6.374005848,#VALUE!,
310050,Açucena,MG,2022.Q3,Gestantes Saúde Bucal,2,60,38,6.33,6.607339181,#VALUE!,
310050,Açucena,MG,2022.Q3,Cobertura Citopatológico,1,40,21,5.25,6.340672515,#VALUE!,
310050,Açucena,MG,2022.Q3,Cobertura Polio e Penta,2,95,93,9.79,6.290672515,#VALUE!,
310050,Açucena,MG,2022.Q3,Hipertensão (PA Aferida),2,50,23,4.60,6.143304094,#VALUE!,
310050,Açucena,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,8,1.60,6.463304094,#VALUE!,
350010,Adamantina,SP,2022.Q3,Pré-Natal (6 consultas),1,45,35,7.78,6.763304094,6.763304094,6.763304094
350010,Adamantina,SP,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,71,10.00,6.985526316,#VALUE!,
350010,Adamantina,SP,2022.Q3,Gestantes Saúde Bucal,2,60,30,5.00,6.985526316,#VALUE!,
350010,Adamantina,SP,2022.Q3,Cobertura Citopatológico,1,40,19,4.75,7.985526316,#VALUE!,
350010,Adamantina,SP,2022.Q3,Cobertura Polio e Penta,2,95,86,9.05,8.135526316,#VALUE!,
350010,Adamantina,SP,2022.Q3,Hipertensão (PA Aferida),2,50,31,6.20,8.325,#VALUE!,
350010,Adamantina,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,23,4.60,8.805,#VALUE!,
520015,Adelândia,GO,2022.Q3,Pré-Natal (6 consultas),1,45,78,10.00,9.005,9.005,9.005
520015,Adelândia,GO,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,100,10.00,9.005,#VALUE!,
520015,Adelândia,GO,2022.Q3,Gestantes Saúde Bucal,2,60,100,10.00,9.005,#VALUE!,
520015,Adelândia,GO,2022.Q3,Cobertura Citopatológico,1,40,25,6.25,9.005,#VALUE!,
520015,Adelândia,GO,2022.Q3,Cobertura Polio e Penta,2,95,100,10.00,9.23,#VALUE!,
520015,Adelândia,GO,2022.Q3,Hipertensão (PA Aferida),2,50,43,8.60,9.23,#VALUE!,
520015,Adelândia,GO,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,33,6.60,9.51,#VALUE!,
350020,Adolfo,SP,2022.Q3,Pré-Natal (6 consultas),1,45,71,10.00,9.85,9.85,9.85
350020,Adolfo,SP,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,71,10.00,9.85,#VALUE!,
350020,Adolfo,SP,2022.Q3,Gestantes Saúde Bucal,2,60,76,10.00,9.816666667,#VALUE!,
350020,Adolfo,SP,2022.Q3,Cobertura Citopatológico,1,40,34,8.50,9.816666667,#VALUE!,
350020,Adolfo,SP,2022.Q3,Cobertura Polio e Penta,2,95,100,10.00,9.441666667,#VALUE!,
350020,Adolfo,SP,2022.Q3,Hipertensão (PA Aferida),2,50,59,10.00,9.189035088,#VALUE!,
350020,Adolfo,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,56,10.00,7.709035088,#VALUE!,
410020,Adrianópolis,PR,2022.Q3,Pré-Natal (6 consultas),1,45,63,10.00,6.929035088,6.929035088,6.929035088
410020,Adrianópolis,PR,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,58,9.67,6.929035088,#VALUE!,
410020,Adrianópolis,PR,2022.Q3,Gestantes Saúde Bucal,2,60,84,10.00,6.962368421,#VALUE!,
410020,Adrianópolis,PR,2022.Q3,Cobertura Citopatológico,1,40,19,4.75,6.962368421,#VALUE!,
410020,Adrianópolis,PR,2022.Q3,Cobertura Polio e Penta,2,95,83,8.74,7.112368421,#VALUE!,
410020,Adrianópolis,PR,2022.Q3,Hipertensão (PA Aferida),2,50,13,2.60,7.301842105,#VALUE!,
