"municipio_id_sus","nome","uf_sigla","periodo_codigo","indicadores_nome","numerador","denominador_estimado","denominador_informado","nota_porcentagem","denominador_utilizado","cadastro","base_externa","porcentagem","populacao"
"350115",Alumínio,SP,"2022.Q3",Pré-Natal (6 consultas),0,20,3,0,20,6052,64.0,15,18903
"412865",Virmond,PR,"2022.Q3",Pré-Natal (6 consultas),0,20,9,0,20,4408,18.0,45,4051
"412175",Reserva do Iguaçu,PR,"2022.Q3",Pré-Natal (6 consultas),0,21,10,0,21,5574,30.0,48,8127
"330530",São Sebastião do Alto,RJ,"2022.Q3",Pré-Natal (6 consultas),0,22,13,0,22,7956,26.0,59,9416
"350995",Canas,SP,"2022.Q3",Pré-Natal (6 consultas),0,23,0,0,23,5244,23.0,0,5268
"350310",Arandu,SP,"2022.Q3",Pré-Natal (6 consultas),0,23,5,0,23,6708,22.0,22,6373
"310180",Alpercata,MG,"2022.Q3",Pré-Natal (6 consultas),0,24,5,0,24,6596,27.0,21,7448
"311787",Confins,MG,"2022.Q3",Pré-Natal (6 consultas),0,25,11,0,25,7502,23.0,44,6867
"350960",Campo Limpo Paulista,SP,"2022.Q3",Pré-Natal (6 consultas),0,26,20,0,26,7477,296.0,77,86407
"330090",Cambuci,RJ,"2022.Q3",Pré-Natal (6 consultas),0,28,2,0,28,9684,45.0,7,15521
"240670",Lajes,RN,"2022.Q3",Pré-Natal (6 consultas),0,23,29,0,29,9848,27.0,126,11410
"314780",Passa-Vinte,MG,"2022.Q3",Pré-Natal (6 consultas),0,3,0,0,3,2219,3.0,0,2024
"430825",Floriano Peixoto,RS,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,1923,3.0,33,1709
"310330",Aracitaba,MG,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,2213,3.0,33,2056
"350335",Arco-Íris,SP,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,2327,2.0,33,1755
"431755",Santo Antônio do Palma,RS,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,2461,3.0,33,2118
"353100",Monções,SP,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,2555,3.0,33,2274
"431697",Santa Margarida do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),0,3,1,0,3,2893,3.0,33,2593
"430192",Barra do Rio Azul,RS,"2022.Q3",Pré-Natal (6 consultas),0,1,3,0,3,2011,1.0,300,1621
"220669",Murici dos Portelas,PI,"2022.Q3",Pré-Natal (6 consultas),0,21,36,0,36,6776,29.0,171,9258
"354075",Potim,SP,"2022.Q3",Pré-Natal (6 consultas),0,38,37,0,37,15261,64.0,97,25603
"410110",Andirá,PR,"2022.Q3",Pré-Natal (6 consultas),0,37,38,0,38,12707,58.0,103,19823
"312460",Estrela Dalva,MG,"2022.Q3",Pré-Natal (6 consultas),0,4,0,0,4,2077,4.0,0,2308
"431973",São Valério do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),0,4,1,0,4,1536,7.0,25,2732
"431235",Montauri,RS,"2022.Q3",Pré-Natal (6 consultas),0,4,3,0,4,1787,3.0,75,1430
"311560",Cedro do Abaeté,MG,"2022.Q3",Pré-Natal (6 consultas),0,0,4,0,4,1438,0.0,0,1150
"315380",Queluzito,MG,"2022.Q3",Pré-Natal (6 consultas),0,1,4,0,4,2275,1.0,400,1948
"354720",Santana da Ponte Pensa,SP,"2022.Q3",Pré-Natal (6 consultas),0,3,4,0,4,2139,2.0,133,1448
"316560",Senador Cortes,MG,"2022.Q3",Pré-Natal (6 consultas),0,3,4,0,4,2154,3.0,133,2001
"431087",Jacuizinho,RS,"2022.Q3",Pré-Natal (6 consultas),0,4,4,0,4,2382,4.0,100,2718
"411710",Nova Londrina,PR,"2022.Q3",Pré-Natal (6 consultas),0,40,12,0,40,13031,40.0,30,13188
"315390",Raposos,MG,"2022.Q3",Pré-Natal (6 consultas),0,47,6,0,47,15994,48.0,13,16501
"421085",Mirim Doce,SC,"2022.Q3",Pré-Natal (6 consultas),0,5,1,0,5,2871,4.0,20,2257
"431171",Maçambará,RS,"2022.Q3",Pré-Natal (6 consultas),0,5,1,0,5,3428,7.0,20,4539
"431673",Santa Cecília do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),0,5,2,0,5,2092,4.0,40,1630
"311470",Carvalhópolis,MG,"2022.Q3",Pré-Natal (6 consultas),0,5,3,0,5,2680,7.0,60,3614
"315860",Santana do Deserto,MG,"2022.Q3",Pré-Natal (6 consultas),0,6,0,0,6,3246,7.0,0,3985
"315620",Rochedo de Minas,MG,"2022.Q3",Pré-Natal (6 consultas),0,6,1,0,6,2683,5.0,17,2335
"311960",Coronel Pacheco,MG,"2022.Q3",Pré-Natal (6 consultas),0,6,5,0,6,3105,6.0,83,3095
"312580",Fernandes Tourinho,MG,"2022.Q3",Pré-Natal (6 consultas),0,6,5,0,6,3343,6.0,83,3500
"314940",Pedro Teixeira,MG,"2022.Q3",Pré-Natal (6 consultas),0,1,6,0,6,2269,1.0,600,1804
"431500",Porto Lucena,RS,"2022.Q3",Pré-Natal (6 consultas),0,5,6,0,6,4812,5.0,120,4514
"354740",Santa Rita d'Oeste,SP,"2022.Q3",Pré-Natal (6 consultas),0,7,1,0,7,3307,5.0,14,2476
"291900",Lajedinho,BA,"2022.Q3",Pré-Natal (6 consultas),0,7,3,0,7,4101,6.0,43,3735
"315930",Santa Rita de Jacutinga,MG,"2022.Q3",Pré-Natal (6 consultas),0,7,3,0,7,4754,7.0,43,4843
"431055",Itacurubi,RS,"2022.Q3",Pré-Natal (6 consultas),0,4,7,0,7,3083,5.0,175,3456
"310360",Arantina,MG,"2022.Q3",Pré-Natal (6 consultas),0,8,0,0,8,3025,7.0,0,2779
"310720",Bocaina de Minas,MG,"2022.Q3",Pré-Natal (6 consultas),0,8,0,0,8,4318,9.0,0,5088
"431125",Lagoão,RS,"2022.Q3",Pré-Natal (6 consultas),0,8,1,0,8,4336,12.0,13,6469
"430692",Engenho Velho,RS,"2022.Q3",Pré-Natal (6 consultas),0,8,4,0,8,1569,5.0,50,932
"240550",Jardim de Angicos,RN,"2022.Q3",Pré-Natal (6 consultas),0,8,4,0,8,2750,8.0,50,2600
"315740",Santa Cruz do Escalvado,MG,"2022.Q3",Pré-Natal (6 consultas),0,8,4,0,8,4931,8.0,50,4693
"317150",Mathias Lobato,MG,"2022.Q3",Pré-Natal (6 consultas),0,8,5,0,8,3182,8.0,63,3157
"311900",Cordislândia,MG,"2022.Q3",Pré-Natal (6 consultas),0,8,8,0,8,3620,8.0,100,3546
"521690",Pilar de Goiás,GO,"2022.Q3",Pré-Natal (6 consultas),0,9,1,0,9,3125,6.0,11,2135
"312850",Guarará,MG,"2022.Q3",Pré-Natal (6 consultas),0,9,2,0,9,4215,8.0,22,3755
"315970",Santa Rosa da Serra,MG,"2022.Q3",Pré-Natal (6 consultas),0,9,5,0,9,3328,9.0,56,3364
"310570",Barra Longa,MG,"2022.Q3",Pré-Natal (6 consultas),0,9,6,0,9,6277,7.0,67,4905
"350150",Alvinlândia,SP,"2022.Q3",Pré-Natal (6 consultas),0,7,9,0,9,3073,7.0,129,3251
"520915",Gouvelândia,GO,"2022.Q3",Pré-Natal (6 consultas),0,8,9,0,9,5137,10.0,113,6076
"412575",São Pedro do Iguaçu,PR,"2022.Q3",Pré-Natal (6 consultas),0,9,9,0,9,2749,19.0,100,5745
"510120",Araguainha,MT,"2022.Q3",Pré-Natal (6 consultas),1,0,1,100,1,1038,0.0,0,909
"431164",Linha Nova,RS,"2022.Q3",Pré-Natal (6 consultas),1,0,1,100,1,1442,0.0,0,1724
"412310",Santa Amélia,PR,"2022.Q3",Pré-Natal (6 consultas),1,7,10,10,10,2788,8.0,143,3208
"412020",Porto Rico,PR,"2022.Q3",Pré-Natal (6 consultas),1,10,2,10,10,3148,8.0,20,2554
"313850",Liberdade,MG,"2022.Q3",Pré-Natal (6 consultas),1,10,5,10,10,5143,10.0,50,4994
"353970",Platina,SP,"2022.Q3",Pré-Natal (6 consultas),1,10,6,10,10,3845,9.0,60,3606
"316265",São João do Pacuí,MG,"2022.Q3",Pré-Natal (6 consultas),1,9,11,9,11,4020,10.0,122,4476
"353205",Motuca,SP,"2022.Q3",Pré-Natal (6 consultas),1,11,5,9,11,4805,11.0,45,4831
"355640",Vargem Grande do Sul,SP,"2022.Q3",Pré-Natal (6 consultas),1,118,31,1,118,37507,137.0,26,43368
"354690",Santa Lúcia,SP,"2022.Q3",Pré-Natal (6 consultas),1,12,10,8,12,4050,26.0,83,8889
"311810",Congonhas do Norte,MG,"2022.Q3",Pré-Natal (6 consultas),1,8,12,8,12,4807,8.0,150,5047
"311890",Cordisburgo,MG,"2022.Q3",Pré-Natal (6 consultas),1,12,8,8,12,7052,15.0,67,8903
"311220",Capela Nova,MG,"2022.Q3",Pré-Natal (6 consultas),1,13,10,8,13,5099,12.0,77,4616
"520993",Inaciolândia,GO,"2022.Q3",Pré-Natal (6 consultas),1,13,10,8,13,5540,15.0,77,6275
"431575",Riozinho,RS,"2022.Q3",Pré-Natal (6 consultas),1,13,13,8,13,4583,13.0,100,4698
"150690",Santarém Novo,PA,"2022.Q3",Pré-Natal (6 consultas),1,13,8,8,13,4338,20.0,62,6796
"221062",Sebastião Barros,PI,"2022.Q3",Pré-Natal (6 consultas),1,13,9,8,13,4347,10.0,69,3434
"312705",Fronteira dos Vales,MG,"2022.Q3",Pré-Natal (6 consultas),1,13,14,7,14,4503,13.0,108,4542
"312210",Divino das Laranjeiras,MG,"2022.Q3",Pré-Natal (6 consultas),1,14,6,7,14,4531,15.0,43,4969
"320180",Divino de São Lourenço,ES,"2022.Q3",Pré-Natal (6 consultas),1,15,11,7,15,5000,13.0,73,4236
"313695",Juvenília,MG,"2022.Q3",Pré-Natal (6 consultas),1,16,10,6,16,5586,16.0,63,5706
"316150",São Geraldo,MG,"2022.Q3",Pré-Natal (6 consultas),1,16,12,6,16,9677,21.0,75,12751
"317115",Vermelho Novo,MG,"2022.Q3",Pré-Natal (6 consultas),1,10,16,6,16,5638,9.0,160,4852
"241160",São Bento do Norte,RN,"2022.Q3",Pré-Natal (6 consultas),1,10,18,6,18,2734,10.0,180,2687
"354650",Santa Ernestina,SP,"2022.Q3",Pré-Natal (6 consultas),1,18,6,6,18,6522,15.0,33,5577
"420075",Alto Bela Vista,SC,"2022.Q3",Pré-Natal (6 consultas),1,1,2,50,2,2044,1.0,200,1915
"313280",Itambé do Mato Dentro,MG,"2022.Q3",Pré-Natal (6 consultas),1,2,2,50,2,2539,2.0,100,2032
"315190",Pocrane,MG,"2022.Q3",Pré-Natal (6 consultas),1,20,16,5,20,9324,18.0,80,8288
"351400",Dobrada,SP,"2022.Q3",Pré-Natal (6 consultas),1,20,3,5,20,8075,22.0,15,9088
"316890",Tiros,MG,"2022.Q3",Pré-Natal (6 consultas),1,22,10,5,22,7376,19.0,45,6369
"352660",Lavrinhas,SP,"2022.Q3",Pré-Natal (6 consultas),1,24,12,4,24,7107,25.0,50,7361
"170307",Barra do Ouro,TO,"2022.Q3",Pré-Natal (6 consultas),1,25,26,4,26,5179,23.0,104,4673
"350670",Boa Esperança do Sul,SP,"2022.Q3",Pré-Natal (6 consultas),1,28,18,4,28,9564,45.0,64,15111
"330513",São José de Ubá,RJ,"2022.Q3",Pré-Natal (6 consultas),1,29,12,3,29,7756,27.0,41,7240
"431531",Quatro Irmãos,RS,"2022.Q3",Pré-Natal (6 consultas),1,3,2,33,3,1833,3.0,67,1860
"510670",Ponte Branca,MT,"2022.Q3",Pré-Natal (6 consultas),1,3,2,33,3,2158,2.0,67,1525
"430225",Boa Vista do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),1,3,2,33,3,2940,3.0,67,2773
"430066",André da Rocha,RS,"2022.Q3",Pré-Natal (6 consultas),1,1,3,33,3,1466,1.0,300,1351
"430583",Coqueiro Baixo,RS,"2022.Q3",Pré-Natal (6 consultas),1,1,3,33,3,1636,1.0,300,1490
"430485",Carlos Gomes,RS,"2022.Q3",Pré-Natal (6 consultas),1,1,3,33,3,1727,1.0,300,1327
"411260",Jardim Olinda,PR,"2022.Q3",Pré-Natal (6 consultas),1,2,3,33,3,1572,2.0,150,1309
"355520",Turiúba,SP,"2022.Q3",Pré-Natal (6 consultas),1,2,3,33,3,2175,2.0,150,2024
"351580",Flora Rica,SP,"2022.Q3",Pré-Natal (6 consultas),1,3,3,33,3,1872,2.0,100,1397
"430055",Alto Alegre,RS,"2022.Q3",Pré-Natal (6 consultas),1,3,3,33,3,1995,2.0,100,1590
"410340",Cafeara,PR,"2022.Q3",Pré-Natal (6 consultas),1,3,3,33,3,3413,3.0,100,2973
"330015",Aperibé,RJ,"2022.Q3",Pré-Natal (6 consultas),1,31,25,3,31,11314,33.0,81,12036
"350990",Cananéia,SP,"2022.Q3",Pré-Natal (6 consultas),1,32,13,3,32,8492,47.0,41,12542
"431810",São Francisco de Assis,RS,"2022.Q3",Pré-Natal (6 consultas),1,34,25,3,34,14810,41.0,74,18081
"315415",Reduto,MG,"2022.Q3",Pré-Natal (6 consultas),1,35,24,3,35,8464,30.0,69,7247
"130180",Ipixuna,AM,"2022.Q3",Pré-Natal (6 consultas),1,30,36,3,36,8700,108.0,120,31172
"352820",Macedônia,SP,"2022.Q3",Pré-Natal (6 consultas),1,4,1,25,4,2261,7.0,25,3686
"431300",Nova Bréscia,RS,"2022.Q3",Pré-Natal (6 consultas),1,4,1,25,4,3613,4.0,25,3345
"314750",Passabém,MG,"2022.Q3",Pré-Natal (6 consultas),1,4,3,25,4,1915,3.0,75,1619
"310140",Albertina,MG,"2022.Q3",Pré-Natal (6 consultas),1,4,3,25,4,3348,4.0,75,3015
"431127",Lagoa dos Três Cantos,RS,"2022.Q3",Pré-Natal (6 consultas),1,1,4,25,4,2152,1.0,400,1604
"351590",Floreal,SP,"2022.Q3",Pré-Natal (6 consultas),1,2,4,25,4,3053,2.0,200,2884
"431333",Nova Ramada,RS,"2022.Q3",Pré-Natal (6 consultas),1,4,4,25,4,2572,3.0,100,2195
"311070",Cambuquira,MG,"2022.Q3",Pré-Natal (6 consultas),1,41,13,2,41,12864,41.0,32,12810
"420475",Cunhataí,SC,"2022.Q3",Pré-Natal (6 consultas),1,5,1,20,5,2283,4.0,20,1972
"431478",Ponte Preta,RS,"2022.Q3",Pré-Natal (6 consultas),1,5,2,20,5,2024,4.0,40,1501
"311590",Chácara,MG,"2022.Q3",Pré-Natal (6 consultas),1,5,3,20,5,2626,6.0,60,3216
"312470",Estrela do Indaiá,MG,"2022.Q3",Pré-Natal (6 consultas),1,5,3,20,5,3039,6.0,60,3483
"311310",Caranaíba,MG,"2022.Q3",Pré-Natal (6 consultas),1,5,3,20,5,3397,5.0,60,3150
"430786",Fagundes Varela,RS,"2022.Q3",Pré-Natal (6 consultas),1,5,4,20,5,3197,4.0,80,2750
"431335",Nova Roma do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),1,5,4,20,5,4801,4.0,80,3743
"431075",Ivorá,RS,"2022.Q3",Pré-Natal (6 consultas),1,1,5,20,5,2450,1.0,500,1854
"520020",Água Limpa,GO,"2022.Q3",Pré-Natal (6 consultas),1,3,5,20,5,2280,2.0,167,1809
"431507",Porto Vera Cruz,RS,"2022.Q3",Pré-Natal (6 consultas),1,4,5,20,5,1839,3.0,125,1258
"351492",Elisiário,SP,"2022.Q3",Pré-Natal (6 consultas),1,5,5,20,5,3673,5.0,100,3742
"411995",Pontal do Paraná,PR,"2022.Q3",Pré-Natal (6 consultas),1,52,35,2,52,14915,100.0,67,28529
"330120",Carmo,RJ,"2022.Q3",Pré-Natal (6 consultas),1,54,26,2,54,18570,56.0,48,19161
"432370",Vista Gaúcha,RS,"2022.Q3",Pré-Natal (6 consultas),1,6,2,17,6,3086,6.0,33,2858
"311380",Carmésia,MG,"2022.Q3",Pré-Natal (6 consultas),1,6,5,17,6,2398,7.0,83,2660
"314580",Onça de Pitangui,MG,"2022.Q3",Pré-Natal (6 consultas),1,6,5,17,6,3335,6.0,83,3155
"430543",Chuí,RS,"2022.Q3",Pré-Natal (6 consultas),1,6,5,17,6,3401,12.0,83,6832
"317110",Veríssimo,MG,"2022.Q3",Pré-Natal (6 consultas),1,2,6,17,6,3330,3.0,300,4090
"430511",Centenário,RS,"2022.Q3",Pré-Natal (6 consultas),1,5,6,17,6,3125,5.0,120,2865
"310070",Água Comprida,MG,"2022.Q3",Pré-Natal (6 consultas),1,7,6,17,6,2735,5.0,86,1986
"430063",Amaral Ferrador,RS,"2022.Q3",Pré-Natal (6 consultas),1,7,6,17,6,4636,11.0,86,7136
"315520",Rio Espera,MG,"2022.Q3",Pré-Natal (6 consultas),1,7,6,17,6,6273,6.0,86,5332
"330210",Itaocara,RJ,"2022.Q3",Pré-Natal (6 consultas),1,60,33,2,60,17322,81.0,55,23211
"353430",Orlândia,SP,"2022.Q3",Pré-Natal (6 consultas),1,64,19,2,64,21249,134.0,30,44682
"220960",São Félix do Piauí,PI,"2022.Q3",Pré-Natal (6 consultas),1,7,2,14,7,3269,6.0,29,2923
"314550",Olímpio Noronha,MG,"2022.Q3",Pré-Natal (6 consultas),1,7,3,14,7,3117,6.0,43,2829
"431643",Saldanha Marinho,RS,"2022.Q3",Pré-Natal (6 consultas),1,7,4,14,7,2955,6.0,57,2596
"431520",Putinga,RS,"2022.Q3",Pré-Natal (6 consultas),1,5,7,14,7,4017,5.0,140,3861
"313490",Jacutinga,MG,"2022.Q3",Pré-Natal (6 consultas),1,72,40,1,72,22466,85.0,56,26538
"411940",Piraí do Sul,PR,"2022.Q3",Pré-Natal (6 consultas),1,74,6,1,74,20464,93.0,8,25779
"430783",Eugênio de Castro,RS,"2022.Q3",Pré-Natal (6 consultas),1,8,3,13,8,2945,6.0,38,2310
"354040",Populina,SP,"2022.Q3",Pré-Natal (6 consultas),1,8,3,13,8,4361,8.0,38,4136
"432252",Vale Verde,RS,"2022.Q3",Pré-Natal (6 consultas),1,8,4,13,8,3785,7.0,50,3531
"520650",Cromínia,GO,"2022.Q3",Pré-Natal (6 consultas),1,8,4,13,8,4527,6.0,50,3458
"310680",Bias Fortes,MG,"2022.Q3",Pré-Natal (6 consultas),1,5,8,13,8,3270,5.0,160,3282
"354230",Redenção da Serra,SP,"2022.Q3",Pré-Natal (6 consultas),1,7,8,13,8,2483,11.0,114,3827
"432147",Tiradentes do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),1,8,8,13,8,5332,8.0,100,5532
"316090",São Brás do Suaçuí,MG,"2022.Q3",Pré-Natal (6 consultas),1,9,8,13,8,4926,7.0,89,3770
"130115",Careiro da Várzea,AM,"2022.Q3",Pré-Natal (6 consultas),1,3,9,11,9,1506,57.0,300,31459
"431843",São João do Polêsine,RS,"2022.Q3",Pré-Natal (6 consultas),1,8,9,11,9,3199,6.0,113,2535
"500310",Corguinho,MS,"2022.Q3",Pré-Natal (6 consultas),1,8,9,11,9,4541,11.0,113,6158
"240840",Olho-d'Água do Borges,RN,"2022.Q3",Pré-Natal (6 consultas),10,2,10,100,10,4893,2.0,500,4231
"420535",Flor do Sertão,SC,"2022.Q3",Pré-Natal (6 consultas),10,5,10,100,10,1993,4.0,200,1575
"221170",Wall Ferraz,PI,"2022.Q3",Pré-Natal (6 consultas),10,5,10,100,10,4374,5.0,200,4479
"410270",Barra do Jacaré,PR,"2022.Q3",Pré-Natal (6 consultas),10,7,10,100,10,3090,6.0,143,2781
"330480",São Fidélis,RJ,"2022.Q3",Pré-Natal (6 consultas),10,101,57,10,101,36484,107.0,56,38749
"251570",Serra Grande,PB,"2022.Q3",Pré-Natal (6 consultas),10,12,11,91,11,3616,10.0,92,2921
"353960",Planalto,SP,"2022.Q3",Pré-Natal (6 consultas),10,13,11,91,11,5278,13.0,85,5370
"431346",Novo Xingu,RS,"2022.Q3",Pré-Natal (6 consultas),10,2,11,91,11,1925,2.0,550,1705
"221037",São Luis do Piauí,PI,"2022.Q3",Pré-Natal (6 consultas),10,2,11,91,11,2586,2.0,550,2648
"354925",São João de Iracema,SP,"2022.Q3",Pré-Natal (6 consultas),10,5,11,91,11,2445,4.0,220,1942
"270700",Pindoba,AL,"2022.Q3",Pré-Natal (6 consultas),10,6,11,91,11,2739,6.0,183,2903
"314950",Pequeri,MG,"2022.Q3",Pré-Natal (6 consultas),10,7,11,91,11,4161,6.0,157,3340
"220117",Barra D'Alcântara,PI,"2022.Q3",Pré-Natal (6 consultas),10,8,11,91,11,4616,7.0,138,3953
"430807",Fazenda Vilanova,RS,"2022.Q3",Pré-Natal (6 consultas),10,12,10,83,12,5199,11.0,83,4680
"171500",Nova Rosalândia,TO,"2022.Q3",Pré-Natal (6 consultas),10,11,12,83,12,4041,12.0,109,4348
"430540",Chiapetta,RS,"2022.Q3",Pré-Natal (6 consultas),10,13,12,83,12,4442,11.0,92,3684
"352560",João Ramalho,SP,"2022.Q3",Pré-Natal (6 consultas),10,13,12,83,12,5019,12.0,92,4577
"220198",Brejo do Piauí,PI,"2022.Q3",Pré-Natal (6 consultas),10,14,12,83,12,4582,12.0,86,3824
